Tahun,Kabupaten_Kota,Jumlah_Penduduk,Perempuan,Laki_Laki
2023,Tapanuli Utara,323102,161320,161782
2023,Toba,213850,106943,106907
2023,Labuhan Batu,513826,253109,260717
2023,Asahan,802563,396946,405617
2023,Simalungun,1035920,514658,521262
2023,Dairi,324747,161819,162928
2023,Karo,420799,212199,208600
2023,Deli Serdang,2018164,1003535,1014629
2023,Langkat,1066711,527889,538822
2023,Nias Selatan,382539,190195,192344
2023,Humbang Hasundutan,204700,102127,102573
2023,Pakpak Bharat,55172,27282,27890
2023,Samosir,141333,70685,70648
2023,Serdang Bedagai,682918,339056,343862
2023,Batu Bara,430533,213984,216549
2023,Padang Lawas Utara,275448,135073,140375
2023,Padang Lawas,275648,137142,138506
2023,Labuhanbatu Selatan,330797,162142,168655
2023,Labuanbatu Utara,401863,198158,203705
2023,Nias Utara,155873,78415,77458
2023,Nias Barat,95334,48909,46425
2023,Sibolga,91265,45426,45839
2023,Tanjungbalai,183170,90455,92715
2023,Pematangsiantar,274838,138920,135918
2023,Tebing Tinggi,178914,89889,89025
2023,Medan,2474166,1242493,1231673
2023,Binjai,303272,151645,151627
2023,Padangsidimpuan,236217,116989,119228
2023,Gunungsitoli,142890,73155,69735
