Tahun,Kabupaten_Kota,TPT,TPAK
2023,Dairi,1.23,84.81
2023,Karo,2.63,83.86
2023,Deli Serdang,8.62,67.62
2023,Langkat,6.33,75.87
2023,Nias Selatan,3.48,79.29
2023,Humbang Hasundutan,,86.67
2023,Pakpak Bharat,,85.95
2023,Samosir,,86.89
2023,Serdang Bedagai,4.97,67.65
2023,Batu Bara,5.88,72.94
2023,Padang Lawas Utara,4.42,73.41
2023,Padang Lawas,5.75,78.14
2023,Labuhan Batu Selatan,3.43,73.2
2023,Labuhan Batu Utara,4.84,64.68
2023,Nias Utara,2.57,81.27
2023,Nias Barat,0.8,81.08
2023,Kota Sibolga,6.79,71.18
2023,Kota Tanjung Balai,4.47,69.79
2023,Kota Pematang Siantar,8.62,70.96
2023,Kota Tebing Tinggi,6.24,65.7
2023,Kota Medan,8.67,64.67
2023,Kota Binjai,6.1,62.79
2023,Kota Padangsidimpuan,7.57,68.9
2023,Kota Gunungsitoli,3.67,67.77
